CRN,Subject,Course Number,Course,Title,Instructor,Meeting Times,Campus,Instructional Method,Status,Seats Available,Enrollment,Maximum Enrollment,Waitlist Available
83252,EDA,7980,EDA 7980,Doctoral Dissertation Research,[REDACTED],TBA,Main Campus-UNF,Independent,OPEN,4,1,5,0
83263,EDA,7980,EDA 7980,Doctoral Dissertation Research,[REDACTED],TBA,Main Campus-UNF,Independent,OPEN,4,1,5,0
83376,EDA,7980,EDA 7980,Doctoral Dissertation Research,[REDACTED],TBA,Main Campus-UNF,Independent,OPEN,4,1,5,0
83410,EDA,7980,EDA 7980,Doctoral Dissertation Research,[REDACTED],TBA,Main Campus-UNF,Independent,OPEN,4,1,5,0
83411,EDA,7980,EDA 7980,Doctoral Dissertation Research,[REDACTED],TBA,Main Campus-UNF,Independent,OPEN,4,1,5,0
83616,EDA,7980,EDA 7980,Doctoral Dissertation Research,[REDACTED],TBA,Main Campus-UNF,Independent,OPEN,4,1,5,0
83660,EDA,7980,EDA 7980,Doctoral Dissertation Research,[REDACTED],TBA,Main Campus-UNF,Independent,OPEN,4,1,5,0
83688,EDA,7980,EDA 7980,Doctoral Dissertation Research,[REDACTED],TBA,Main Campus-UNF,Independent,OPEN,4,1,5,0
83826,EDA,7980,EDA 7980,Doctoral Dissertation Research,[REDACTED],TBA,Main Campus-UNF,Independent,OPEN,3,2,5,0
84140,EDA,7980,EDA 7980,Doctoral Dissertation Research,[REDACTED],TBA,Main Campus-UNF,Independent,OPEN,4,1,5,0
84232,EDA,7980,EDA 7980,Doctoral Dissertation Research,[REDACTED],TBA,Main Campus-UNF,Independent,OPEN,4,1,5,0
84234,EDA,7980,EDA 7980,Doctoral Dissertation Research,[REDACTED],TBA,Main Campus-UNF,Independent,OPEN,4,1,5,0
84235,EDA,7980,EDA 7980,Doctoral Dissertation Research,[REDACTED],TBA,Main Campus-UNF,Independent,OPEN,4,1,5,0
84927,EDA,7980,EDA 7980,Doctoral Dissertation Research,[REDACTED],TBA,Main Campus-UNF,Independent,OPEN,4,1,5,0
84928,EDA,7980,EDA 7980,Doctoral Dissertation Research,[REDACTED],TBA,Main Campus-UNF,Independent,OPEN,4,1,5,0
84997,EDA,7980,EDA 7980,Doctoral Dissertation Research,[REDACTED],TBA,Main Campus-UNF,Independent,OPEN,3,2,5,0
85498,EDA,7980,EDA 7980,Doctoral Dissertation Research,[REDACTED],TBA,Main Campus-UNF,Independent,OPEN,4,1,5,0
85500,EDA,7980,EDA 7980,Doctoral Dissertation Research,[REDACTED],TBA,Main Campus-UNF,Independent,OPEN,4,1,5,0
86476,EDA,7980,EDA 7980,Doctoral Dissertation Research,[REDACTED],TBA,Main Campus-UNF,Independent,FULL,0,1,1,0
83897,EDE,4943,EDE 4943,Student Teaching Internship,[REDACTED],Off Main Campus Room OFF-MC,Off-Campus: Internships,Independent,OPEN,25,15,40,5
83898,EDE,6205,EDE 6205,Effective Practices for Differentiating Instruction,[REDACTED],R | 4:30 PM - 7:15 PM | Online,Distance Learning,Live Online,OPEN,8,22,30,5
83899,EDF,1005,EDF 1005,Introduction to the Teaching Profession,[REDACTED],TR | 9:25 AM - 10:40 AM | 57-Petway Hall Room 2010,Main Campus-UNF,Standard,OPEN,2,38,40,5
83900,EDF,1005,EDF 1005,Introduction to the Teaching Profession,[REDACTED],MW | 3:00 PM - 4:15 PM | 57-Petway Hall Room 2070,Main Campus-UNF,Standard,OPEN,3,37,40,5
83901,EDF,1005,EDF 1005,Introduction to the Teaching Profession,[REDACTED],Online,Distance Learning,Online (DL),OPEN,4,36,40,5
